"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty_xy [nm]"
117,3,10626.429,38835.078,200.82,10427.948,0,5.076,8502047.344,4.297
118,3,10719.793,38576.586,225.321,13129.789,0,7.343,17793704.066,4.668
119,3,10781.84,33059.854,248.363,13182.312,0,14.684,71153793.838,7.492
120,3,11035.725,37761.5,8.629,80.631,239.224,15.854,82946133.175,8.926
121,3,11099.209,33992.359,196.796,8498.926,0,7.103,16649609.284,5.15
122,3,11254.589,34771.772,43.758,133.184,268.084,8.636,24612397.147,15.526
123,3,11280.004,35282.146,7.378,112.156,245.619,18.422,111993180.995,7.162
124,3,11249.445,36111.129,211.459,14338.329,0,11.302,42153311.301,4.725
125,3,11621.043,9557.947,164.251,1377.346,0,4.67,7198015.019,12.076
126,3,21659.415,30562.73,122.129,1470.936,62.227,9.448,29455852.275,10.806
127,3,21964.189,29838.631,255.498,9716.133,0,5.076,8501733.731,5.991
128,3,22605.72,29440.999,119.424,1231.251,79.169,4.202,5826550.56,8.141
129,3,23053.481,29930.957,184.774,5055.365,0,4.522,6748806.43,5.864
130,3,23276.781,29847.521,9.231,52.507,116.127,9.378,29025615.831,9
131,3,23329.621,29195.511,153.316,4154.54,0,11.166,41145028.625,7.418
132,3,23640.5,29026.237,212.749,6420.621,0,5.753,10921124.162,6.416
133,3,23760.64,29479.543,3.048,46.219,119.745,8.149,21915115.095,7.755
134,3,24083.403,28925.134,136.947,2369.913,13.147,3.976,5217904.391,6.31
135,3,24191.443,29164.742,74.045,284.529,66.714,1.769,1033182.235,9.504
136,3,26642.162,13321.35,175.303,7017.797,0,6.748,15025484.06,4.948
137,3,26805.575,12622.182,121.595,2233.38,77.991,10.432,35911167.822,8.132
138,3,27039.657,13044.352,6.957,69.035,159.645,6.37,13392418.539,5.503
139,3,27199.612,14156.678,5.275,54.149,190.645,3.401,3816189.955,5.158
140,3,27491.345,13627.879,53.575,147.611,126.939,10.434,35928033.199,22.426
141,3,27675.594,14187.741,211.182,8736.181,0,11.191,41328393.54,6.81
142,3,27762.627,15190.773,232.583,10449.609,0,9.686,30962019.61,6.371
143,3,27936.614,14478.632,196.254,7468.054,0,14.98,74053823.259,8.269
144,3,28203.695,15696.32,114.061,1394.061,144.991,6.768,15117124.852,8.421
145,3,28401.838,15072.864,111.18,1783.786,156.208,5.763,10960793.581,6.428
146,3,28867.512,16119.589,58.658,136.162,139.269,6.342,13273545.261,18.937
147,3,33040.671,27361.141,3.534,96.259,152.393,14.64,70727320.085,6.256
148,3,33335.251,27718.855,129.243,2311.085,0,7.798,20067098.828,7.427
149,3,33783.873,28126.956,161.862,3393.754,0,4.391,6361883.42,6.333
150,3,34682.14,28541.946,211.722,6163.058,0,4.665,7183316.365,6.173
151,3,34788.925,29595.197,7.527,32.807,134.151,6.739,14985453.947,10.107
152,3,34874.059,28669.287,54.141,83.862,114.016,7.134,16795592.46,27.935
153,3,34958.756,29805.08,208.644,4295.835,40.363,4.037,5378086.754,7.326
154,3,35277.825,30239.382,3.91,76.361,104.918,9.283,28438685.009,5.705
155,3,35443.152,28026.292,88.385,627.428,59.521,8.05,21384638.523,11.748
156,3,35513.738,29555.343,69.194,204.599,125.341,6.778,15160437.769,18.15
157,3,35626.697,27286.253,44.602,81.498,82.471,3.998,5275072.884,14.729
158,3,35761.628,26747.268,96.016,622.169,53.103,1.034,352830.721,7.889
159,3,35801.914,26220.879,64.977,72.249,118.655,3.914,5055169.768,27.155
160,3,35759.9,29839.423,3.681,78.506,106.234,7.282,17497405.865,4.945
161,3,35897.832,24608.635,76.289,334.876,63.386,6.682,14735259.849,13.883
162,3,35881.261,30517.336,198.449,3310.623,0,4.877,7850346.473,8.619
163,3,36013.168,27662.544,192.659,4956.136,0,2.551,2148451.637,5.721
164,3,36177.914,24639.968,102.327,720.917,46.65,7.045,16379151.488,12.143
165,3,37215.721,26176.233,76.805,422.984,48.277,7.861,20394143.528,12.852
